UNITID,CDACTUA,EFTEUG,FTEUG
205124,1537.0,57.0,57.0
205179,19920.0,664.0,664.0
205203,45668.0,1522.0,1522.0
205391,5232.0,174.0,174.0
205443,74803.0,2493.0,2493.0
205470,394793.0,13099.0,13082.0
205559,2563.0,57.0,57.0
205841,155946.0,5198.0,5198.0
205887,28035.0,623.0,623.0
205957,75810.0,2527.0,2527.0
205966,35378.0,1179.0,1179.0
206011,33646.0,1122.0,1122.0
206048,56255.0,1875.0,1875.0
206084,349251.0,11642.0,11642.0
206154,1537.0,57.0,57.0
206279,13995.0,467.0,467.0
206349,21011.0,700.0,700.0
206394,1537.0,57.0,57.0
206437,43743.0,1458.0,1458.0
206446,35113.0,1170.0,1170.0
206491,12910.0,430.0,430.0
206507,31653.0,1055.0,1055.0
206525,38023.0,1267.0,1267.0
206589,62938.0,2098.0,1955.0
206604,185777.0,6193.0,6193.0
206613,28686.0,956.0,956.0
206622,158998.0,5300.0,5300.0
206695,236443.0,7881.0,7881.0
206817,7330.0,244.0,244.0
206835,21121.0,704.0,704.0
206862,35131.0,1171.0,1067.0
206914,72562.0,2419.0,2419.0
206923,36071.0,1202.0,1202.0
206932,18897.0,630.0,630.0
206941,284329.0,9478.0,9478.0
206996,39897.0,1330.0,1330.0
207041,75057.0,2502.0,2502.0
207050,26252.0,875.0,875.0
207069,29647.0,988.0,988.0
207157,7216.0,241.0,241.0
207209,52523.0,1751.0,1751.0
207236,41016.0,1367.0,1367.0
207254,26581.0,886.0,886.0
207263,132981.0,4433.0,4433.0
207281,54868.0,1829.0,1829.0
207290,42321.0,1411.0,1411.0
207306,39709.0,1324.0,1324.0
207324,53115.0,1771.0,1771.0
207342,29921.0,997.0,997.0
207351,33980.0,1133.0,1133.0
207388,401939.0,13099.0,13082.0
207397,89992.0,3000.0,3000.0
207403,39650.0,1322.0,1322.0
207449,195754.0,6525.0,6525.0
207458,42919.0,1431.0,1431.0
207500,401939.0,13099.0,13082.0
207564,63513.0,2117.0,2117.0
207582,99119.0,3304.0,3304.0
207661,69444.0,2315.0,2315.0
207670,111029.0,3701.0,3701.0
207722,23929.0,798.0,761.0
207740,31987.0,1066.0,1066.0
207847,72911.0,2430.0,2430.0
207856,10857.0,362.0,362.0
207865,98703.0,3290.0,3290.0
207935,265134.0,8838.0,8838.0
207962,22171.0,739.0,739.0
207971,80364.0,2679.0,2679.0
208035,23861.0,795.0,795.0
208275,43970.0,977.0,977.0
