UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,48,48,1,1.0
110714,58,999,341,265.0
110714,72,72,3,3.0
110714,89,999,3,3.0
110714,99,99,349,268.0
110714,5,5,407,74.0
110714,58,999,407,74.0
110714,99,99,407,74.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,5,5,14,14.0
110714,5,5,6,6.0
110714,6,6,47,47.0
110714,8,8,53,51.0
110714,9,9,10,10.0
110714,10,10,3,3.0
110714,11,11,2,2.0
110714,12,12,268,262.0
110714,13,13,576,415.0
110714,15,15,1,1.0
110714,16,16,2,2.0
110714,17,17,64,63.0
110714,18,18,16,16.0
110714,19,19,1,1.0
110714,20,20,4,4.0
110714,21,21,31,31.0
110714,22,22,52,52.0
110714,23,23,1,1.0
110714,24,24,44,44.0
110714,25,25,12,12.0
110714,26,26,12,12.0
110714,27,27,8,8.0
110714,28,28,16,15.0
110714,29,29,30,30.0
110714,30,30,1,1.0
110714,31,31,2,2.0
110714,32,32,3,3.0
110714,33,33,4,4.0
110714,34,34,36,36.0
110714,36,36,25,23.0
110714,37,37,121,118.0
110714,38,38,1,1.0
110714,39,39,39,39.0
110714,40,40,3,3.0
110714,41,41,3,3.0
110714,42,42,45,44.0
110714,44,44,2,2.0
110714,45,45,56,55.0
