UNITID,RRFTCT,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTCTA,RET_NMP,STUFACR 
140872,614.0,614.0,490.0,80.0,161.0,161.0,76.0,17.0
140872,331.0,331.0,285.0,86.0,2.0,2.0,0.0,10.0
140872,273.0,273.0,190.0,70.0,1.0,1.0,0.0,10.0
140872,115.0,115.0,82.0,71.0,1.0,1.0,0.0,10.0
140872,309.0,309.0,221.0,72.0,161.0,161.0,76.0,20.0
140872,294.0,294.0,167.0,57.0,12.0,12.0,4.0,13.0
140872,455.0,454.0,263.0,58.0,161.0,161.0,76.0,17.0
140872,971.0,970.0,672.0,70.0,120.0,120.0,60.0,17.0
140872,971.0,970.0,672.0,67.0,97.0,97.0,48.0,15.0
140872,971.0,970.0,672.0,87.0,79.0,74.0,45.0,18.0
140872,487.0,487.0,405.0,83.0,161.0,161.0,45.0,16.0
140872,44.0,44.0,19.0,55.0,16.0,16.0,6.0,13.0
140872,121.0,121.0,45.0,55.0,22.0,22.0,7.0,15.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,1.0,17.0
140872,971.0,970.0,672.0,86.0,161.0,161.0,76.0,17.0
140872,558.0,558.0,255.0,55.0,161.0,161.0,76.0,20.0
140872,260.0,260.0,159.0,61.0,161.0,161.0,76.0,13.0
140872,61.0,61.0,59.0,87.0,52.0,52.0,41.0,10.0
140872,971.0,970.0,672.0,87.0,21.0,21.0,14.0,10.0
140872,682.0,682.0,623.0,87.0,161.0,161.0,76.0,11.0
140872,915.0,913.0,543.0,59.0,43.0,43.0,18.0,15.0
140872,12.0,12.0,10.0,87.0,9.0,9.0,8.0,14.0
140872,168.0,159.0,103.0,65.0,16.0,14.0,5.0,18.0
140872,971.0,970.0,672.0,76.0,62.0,62.0,18.0,18.0
140872,971.0,970.0,672.0,63.0,161.0,161.0,76.0,16.0
140872,27.0,27.0,16.0,59.0,2.0,2.0,1.0,10.0
140872,347.0,347.0,235.0,68.0,29.0,29.0,8.0,18.0
140872,971.0,970.0,672.0,75.0,7.0,7.0,2.0,14.0
140872,165.0,165.0,93.0,56.0,24.0,24.0,12.0,16.0
140872,12.0,12.0,8.0,55.0,3.0,3.0,1.0,19.0
140872,12.0,12.0,8.0,86.0,5.0,5.0,2.0,20.0
140872,131.0,131.0,81.0,62.0,56.0,56.0,11.0,14.0
140872,564.0,564.0,352.0,62.0,40.0,40.0,11.0,15.0
140872,354.0,354.0,345.0,87.0,1.0,1.0,1.0,20.0
140872,256.0,254.0,159.0,63.0,57.0,56.0,28.0,18.0
140872,38.0,38.0,30.0,79.0,14.0,14.0,10.0,13.0
140872,455.0,455.0,349.0,77.0,1.0,1.0,0.0,16.0
140872,185.0,185.0,130.0,70.0,1.0,1.0,0.0,15.0
140872,202.0,202.0,137.0,68.0,64.0,64.0,27.0,14.0
140872,235.0,235.0,159.0,68.0,3.0,3.0,3.0,14.0
140872,971.0,970.0,672.0,77.0,28.0,28.0,14.0,14.0
140872,12.0,12.0,8.0,87.0,18.0,18.0,8.0,13.0
140872,71.0,71.0,35.0,55.0,1.0,1.0,0.0,13.0
140872,971.0,970.0,672.0,87.0,13.0,13.0,9.0,16.0
140872,218.0,218.0,162.0,74.0,79.0,79.0,55.0,20.0
140872,783.0,780.0,649.0,83.0,1.0,1.0,0.0,14.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,0.0,12.0
140872,15.0,15.0,15.0,87.0,2.0,2.0,2.0,17.0
140872,213.0,213.0,125.0,59.0,161.0,161.0,67.0,14.0
140872,74.0,74.0,51.0,69.0,1.0,1.0,0.0,13.0
140872,812.0,812.0,604.0,74.0,2.0,2.0,0.0,10.0
140872,12.0,12.0,8.0,55.0,5.0,5.0,3.0,10.0
140872,435.0,435.0,242.0,56.0,161.0,161.0,76.0,15.0
140872,568.0,568.0,353.0,62.0,161.0,161.0,76.0,14.0
140872,666.0,666.0,412.0,62.0,161.0,161.0,76.0,13.0
140872,371.0,371.0,219.0,59.0,103.0,103.0,44.0,15.0
140872,108.0,108.0,70.0,65.0,1.0,1.0,1.0,12.0
140872,514.0,514.0,288.0,56.0,161.0,161.0,64.0,14.0
140872,101.0,101.0,78.0,77.0,39.0,39.0,27.0,15.0
140872,971.0,970.0,672.0,74.0,24.0,24.0,15.0,19.0
140872,435.0,435.0,292.0,67.0,161.0,161.0,76.0,20.0
140872,215.0,215.0,132.0,61.0,53.0,53.0,24.0,14.0
140872,25.0,25.0,16.0,64.0,13.0,13.0,4.0,10.0
140872,332.0,332.0,182.0,55.0,1.0,1.0,0.0,15.0
140872,552.0,551.0,191.0,55.0,161.0,161.0,76.0,16.0
140872,189.0,189.0,114.0,60.0,97.0,97.0,47.0,11.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,0.0,11.0
140872,971.0,970.0,672.0,85.0,1.0,1.0,1.0,16.0
140872,186.0,186.0,145.0,78.0,1.0,1.0,0.0,10.0
140872,652.0,652.0,389.0,60.0,161.0,161.0,76.0,14.0
140872,971.0,970.0,672.0,73.0,17.0,17.0,7.0,11.0
140872,521.0,521.0,469.0,87.0,2.0,2.0,2.0,10.0
140872,481.0,481.0,310.0,64.0,161.0,161.0,76.0,14.0
140872,698.0,698.0,520.0,74.0,35.0,35.0,12.0,11.0
140872,925.0,925.0,672.0,75.0,98.0,98.0,13.0,16.0
140872,971.0,970.0,672.0,87.0,13.0,13.0,8.0,15.0
140872,124.0,123.0,88.0,72.0,3.0,3.0,1.0,17.0
140872,36.0,36.0,24.0,67.0,31.0,31.0,15.0,14.0
140872,203.0,203.0,113.0,56.0,161.0,161.0,62.0,12.0
140872,971.0,970.0,672.0,86.0,7.0,7.0,4.0,11.0
140872,95.0,95.0,51.0,55.0,21.0,21.0,4.0,10.0
140872,971.0,970.0,672.0,87.0,8.0,8.0,6.0,12.0
140872,971.0,970.0,672.0,87.0,4.0,4.0,4.0,11.0
140872,971.0,970.0,672.0,87.0,5.0,5.0,2.0,14.0
140872,12.0,12.0,8.0,87.0,12.0,12.0,6.0,20.0
140872,188.0,187.0,129.0,69.0,25.0,25.0,13.0,12.0
