UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A   
155681,65.0,227519.0,3500.0,20.0,43609.0,2180.0,85,271128,3190.0,1.0,750.0,750.0,11.0,8250.0,750.0,12,9000,750.0
155900,126.0,762138.0,6049.0,24.0,137392.0,5725.0,150,899530,5997.0,621.0,1417025.0,2282.0,16.0,34500.0,2156.0,637,1451525,2279.0
156082,105.0,691838.0,6589.0,25.0,324515.0,12981.0,130,1016353,7818.0,17.0,67111.0,3948.0,2.0,6353.0,3177.0,19,73464,3867.0
156125,291.0,2158392.0,7417.0,45.0,319702.0,7104.0,336,2478094,7375.0,60.0,199568.0,3326.0,9.0,23750.0,2639.0,69,223318,3236.0
156541,40.0,176524.0,4413.0,101.0,408935.0,4049.0,141,585459,4152.0,8.0,16914.0,2114.0,23.0,45171.0,1964.0,31,62085,2003.0
156620,300.0,2463587.0,8212.0,51.0,334749.0,6564.0,351,2798336,7972.0,87.0,221571.0,2547.0,43.0,92150.0,2143.0,130,313721,2413.0
157085,415.0,3913349.0,9430.0,135.0,1625171.0,12038.0,550,5538520,10070.0,17.0,48708.0,2865.0,17.0,44000.0,2588.0,34,92708,2727.0
157289,263.0,2102033.0,7993.0,140.0,1410044.0,10072.0,403,3512077,8715.0,109.0,276125.0,2533.0,342.0,684750.0,2002.0,451,960875,2131.0
157401,144.0,865976.0,6014.0,33.0,142238.0,4310.0,177,1008214,5696.0,24.0,45185.0,1883.0,29.0,48775.0,1682.0,53,93960,1773.0
157793,154.0,1424467.0,9250.0,27.0,340696.0,12618.0,181,1765163,9752.0,57.0,76822.0,1348.0,14.0,31383.0,2242.0,71,108205,1524.0
157951,253.0,2297349.0,9080.0,32.0,263211.0,8225.0,285,2560560,8984.0,66.0,203163.0,3078.0,89.0,231050.0,2596.0,155,434213,2801.0
159009,56.0,135882.0,2426.0,11.0,12653.0,1150.0,67,148535,2217.0,5.0,14300.0,2860.0,1.0,1500.0,1500.0,6,15800,2633.0
159391,523.0,4458166.0,8524.0,195.0,1949230.0,9996.0,718,6407396,8924.0,8.0,10500.0,1313.0,13.0,36871.0,2836.0,21,47371,2256.0
159416,108.0,497153.0,4603.0,154.0,629887.0,4090.0,262,1127040,4302.0,17.0,36058.0,2121.0,137.0,314582.0,2296.0,154,350640,2277.0
159647,168.0,1433441.0,8532.0,14.0,68395.0,4885.0,182,1501836,8252.0,21.0,40667.0,1937.0,8.0,20979.0,2622.0,29,61646,2126.0
159717,77.0,432459.0,5616.0,5.0,33507.0,6701.0,82,465966,5683.0,3.0,12147.0,4049.0,2.0,5250.0,2625.0,5,17397,3479.0
160038,175.0,584468.0,3340.0,15.0,50561.0,3371.0,190,635029,3342.0,230.0,308490.0,1341.0,8.0,10630.0,1329.0,238,319120,1341.0
160612,166.0,1040629.0,6269.0,15.0,50525.0,3368.0,181,1091154,6028.0,13.0,26308.0,2024.0,19.0,28142.0,1481.0,32,54450,1702.0
160658,148.0,1200318.0,8110.0,18.0,101381.0,5632.0,166,1301699,7842.0,5.0,14509.0,2902.0,3.0,11250.0,3750.0,8,25759,3220.0
160755,49.0,870091.0,17757.0,106.0,1718888.0,16216.0,155,2588979,16703.0,1.0,4500.0,4500.0,6.0,16408.0,2735.0,7,20908,2987.0
160904,36.0,534947.0,14860.0,4.0,51130.0,12783.0,40,586077,14652.0,4.0,9967.0,2492.0,1.0,2739.0,2739.0,5,12706,2541.0
161253,134.0,1054686.0,7871.0,17.0,61021.0,3589.0,151,1115707,7389.0,43.0,193500.0,4500.0,2.0,4500.0,2250.0,45,198000,4400.0
161457,42.0,931468.0,22178.0,48.0,685222.0,14275.0,90,1616690,17963.0,1.0,3750.0,3750.0,2.0,3250.0,1625.0,3,7000,2333.0
